,r1,d1,r2,d2,correct,TS_rank1,TS_rank2,L1_TStrue,L2_TStrue,L1_TSfalse,L2_TSfalse,L1_MARwCF,L2_MARwCF
210,1,1,1,1,1,1,1,0.148863196,0.170129627,0.148863196,0.170129627,0.152463639,0.155288299
211,5,5,1,1,0,1,1,0.236939122,0.201298832,0.236939122,0.201298832,2.111746832,1.243455871
212,1,1,1,1,1,1,1,0.05938984,0.062453317,0.05938984,0.062453317,0.055499797,0.055752477
213,1,1,1,1,1,1,1,0.156594112,0.143301717,0.156594112,0.143301717,0.129824657,0.127612367
214,1,1,1,1,1,1,1,0.132880686,0.142504521,0.132880686,0.142504521,0.098965615,0.138476475
215,1,1,1,1,1,1,1,0.170955979,0.119753178,0.170955979,0.119753178,0.125311767,0.114580232
216,1,1,1,1,1,1,1,0.071364891,0.122450967,0.071364891,0.122450967,0.095090114,0.119306932
217,1,1,1,1,1,1,1,0.158328982,0.157937837,0.158328982,0.157937837,0.126887171,0.101311506
218,1,1,1,1,1,1,1,0.184864208,0.16259267,0.184864208,0.16259267,0.170436618,0.160573938
219,1,1,1,1,1,1,1,0.133223818,0.16801945,0.133223818,0.16801945,0.125061652,0.127955898
220,1,1,1,1,1,1,1,0.158671795,0.200991381,0.158671795,0.200991381,0.147703156,0.145963833
221,3,3,5,5,0,1,1,0.249262319,0.232306689,0.249262319,0.232306689,1.80510712,2.133817774
222,1,1,1,1,1,1,1,0.09612398,0.078427761,0.09612398,0.078427761,0.069594032,0.073422411
223,1,1,1,1,1,1,1,0.080639388,0.05056235,0.080639388,0.05056235,0.082638274,0.052319798
224,1,1,1,1,1,1,1,0.179920828,0.124787552,0.179920828,0.124787552,0.166672238,0.168649653
225,1,1,1,1,1,1,1,0.134780773,0.122392786,0.134780773,0.122392786,0.144175908,0.132483189
226,1,1,1,1,1,1,1,0.111682913,0.165172592,0.111682913,0.165172592,0.184649801,0.19775899
227,7,6,6,5,0,1,1,0.143534634,0.112262554,0.143534634,0.112262554,2.354183556,2.253704567
228,6,6,3,3,0,1,1,0.16732812,0.237434913,0.16732812,0.237434913,2.425540742,1.970527149
229,1,1,1,1,1,1,1,0.266375137,0.120675374,0.266375137,0.120675374,0.196730668,0.095264338
230,1,1,1,1,1,1,1,0.076341111,0.102945538,0.076341111,0.102945538,0.062078658,0.111126364
231,1,1,1,1,1,1,1,0.126011238,0.161182942,0.126011238,0.161182942,0.099469113,0.144936905
232,1,0,1,0,0,1,1,0.035255473,0.028676464,0.035255473,0.028676464,NA,NA
233,1,1,1,1,1,1,1,0.135036085,0.109225688,0.135036085,0.109225688,0.106168372,0.088800526
234,1,1,1,1,1,1,1,0.169666282,0.11715392,0.169666282,0.11715392,0.131003864,0.11533856
235,1,1,1,1,1,1,1,0.087502492,0.125463981,0.087502492,0.125463981,0.089319966,0.114166224
236,1,1,1,1,1,1,1,0.116375125,0.081742368,0.116375125,0.081742368,0.090564795,0.063511305
237,7,7,2,2,0,1,1,0.125385657,0.150455706,0.125385657,0.150455706,2.504834049,1.34821442
238,1,1,1,1,1,1,1,0.108655263,0.099653775,0.108655263,0.099653775,0.073686034,0.10197471
239,1,1,1,1,1,1,1,0.11719863,0.129641368,0.11719863,0.129641368,0.098109924,0.101097579
240,1,1,1,1,1,1,1,0.083855111,0.073231662,0.083855111,0.073231662,0.071186223,0.074577237
241,1,1,1,1,1,1,1,0.136597649,0.164209191,0.136597649,0.164209191,0.157719443,0.13271155
242,1,1,1,1,1,1,1,0.097934588,0.071779042,0.097934588,0.071779042,0.099348039,0.066475476
243,1,1,1,1,1,1,1,0.187415814,0.163676272,0.187415814,0.163676272,0.173618816,0.166327495
244,1,1,1,1,1,1,1,0.136294378,0.124145934,0.136294378,0.124145934,0.130429734,0.102668297
245,1,1,1,1,1,1,1,0.09083605,0.111469291,0.09083605,0.111469291,0.072472706,0.108630075
246,1,1,1,1,1,1,1,0.191565019,0.183571501,0.191565019,0.183571501,0.165103951,0.143728632
247,1,1,1,1,1,1,1,0.100728035,0.088925365,0.100728035,0.088925365,0.084764618,0.102967023
248,1,1,1,1,1,1,1,0.173098779,0.162131826,0.173098779,0.162131826,0.148275531,0.161697518
249,1,1,1,1,1,1,1,0.132900274,0.16227531,0.132900274,0.16227531,0.120855561,0.134013906
250,1,1,1,1,1,1,1,0.179349746,0.215272013,0.179349746,0.215272013,1.404454677,1.370088176
251,1,0,1,1,0,1,1,0.062117051,0.045054632,0.062117051,0.045054632,NA,0.045495734
252,1,1,1,1,1,1,1,0.096230597,0.09366943,0.096230597,0.09366943,0.094048252,0.091281903
253,1,1,1,1,1,1,1,0.138498047,0.155773622,0.138498047,0.155773622,0.123969575,0.15146191
254,1,1,1,1,1,1,1,0.171661607,0.12357079,0.171661607,0.12357079,0.144067352,0.168648719
255,1,1,1,1,1,1,1,0.112007084,0.086614124,0.112007084,0.086614124,0.106389611,0.087953083
256,1,1,1,1,1,1,1,0.178140286,0.19677362,0.178140286,0.19677362,0.146055279,0.199414382
257,6,6,7,7,0,1,1,0.21504686,0.181722057,0.21504686,0.181722057,2.403114286,2.720104216
258,1,1,1,1,1,1,1,0.189912426,0.216304544,0.189912426,0.216304544,0.201620131,0.199755938
259,1,1,1,1,1,1,1,0.201591883,0.125366408,0.201591883,0.125366408,0.205150736,0.113798226
260,3,3,1,1,0,1,1,0.181640339,0.212578761,0.181640339,0.212578761,1.929182031,1.412592968
261,1,1,1,1,1,1,1,0.078349846,0.106849107,0.078349846,0.106849107,0.07252944,0.094623115
262,1,1,1,1,1,1,1,0.086958226,0.090473399,0.086958226,0.090473399,0.081977669,0.078723019
263,1,1,1,1,1,1,1,0.167214824,0.133823505,0.167214824,0.133823505,0.144703048,0.157726286
264,6,6,1,1,0,1,1,0.294772716,0.205308161,0.294772716,0.205308161,2.551459866,1.211419636
265,1,1,1,1,1,1,1,0.127539923,0.097821446,0.127539923,0.097821446,0.100856356,0.087241439
266,1,1,1,1,1,1,1,0.29010008,0.250976049,0.29010008,0.250976049,0.235277773,0.203068627
267,1,1,1,1,1,1,1,0.106969397,0.09587476,0.106969397,0.09587476,0.091894395,0.090788529
268,1,1,1,1,1,1,1,0.12704416,0.1067901,0.12704416,0.1067901,0.120071832,0.106255743
269,1,1,1,1,1,1,1,0.20636014,0.231158058,0.20636014,0.231158058,0.207570203,0.179023527
270,1,1,1,1,1,1,1,0.056852399,0.083604496,0.056852399,0.083604496,0.054131941,0.071481743
271,1,1,1,1,1,1,1,0.077269373,0.092459622,0.077269373,0.092459622,0.077539638,0.076443298
272,1,1,1,1,1,1,1,0.068281744,0.067289042,0.068281744,0.067289042,0.063985513,0.061482631
273,1,1,1,1,1,1,1,0.16518766,0.17073431,0.16518766,0.17073431,0.138956518,0.134387637
274,7,7,7,7,0,1,1,0.178792179,0.167209462,0.178792179,0.167209462,2.483759379,2.479168393
275,1,1,3,3,0,1,1,0.152691757,0.151427751,0.152691757,0.151427751,1.414171671,1.962057058
276,1,1,1,1,1,1,1,0.083927891,0.101068725,0.083927891,0.101068725,0.073512776,0.091217643
277,1,1,1,1,1,1,1,0.125334233,0.075615721,0.125334233,0.075615721,0.109142262,0.061372913
278,1,1,1,1,1,1,1,0.069581008,0.097334323,0.069581008,0.097334323,0.066878372,0.09099536
279,1,1,1,1,1,1,1,0.082373554,0.091605265,0.082373554,0.091605265,0.078029603,0.082181966
280,1,1,1,1,1,1,1,0.212993183,0.12548364,0.212993183,0.12548364,0.172877534,0.129214944
281,1,1,1,1,1,1,1,0.181199377,0.165861261,0.181199377,0.165861261,0.226513598,0.225348477
282,1,1,1,1,1,1,1,0.185550335,0.133709076,0.185550335,0.133709076,0.168798947,0.099057355
283,1,1,1,1,1,1,1,0.072968205,0.095403325,0.072968205,0.095403325,0.063947716,0.078204476
284,1,1,7,7,0,1,1,0.218386354,0.252073285,0.218386354,0.252073285,1.409829801,2.697085822
285,1,1,1,1,1,1,1,0.227907545,0.204401811,0.227907545,0.204401811,0.226954971,0.220303723
286,1,1,1,1,1,1,1,0.125164535,0.136228133,0.125164535,0.136228133,0.119015578,0.117852109
287,1,1,1,1,1,1,1,0.096505495,0.137126462,0.096505495,0.137126462,0.132845843,0.131142675
288,1,1,1,1,1,1,1,0.24275412,0.292044774,0.24275412,0.292044774,0.189920763,0.256109728
289,1,1,1,1,1,1,1,0.177559241,0.24151303,0.177559241,0.24151303,0.142151429,0.198120672
290,1,1,1,1,1,1,1,0.081120904,0.082177723,0.081120904,0.082177723,0.081784662,0.069941984
291,1,1,1,1,1,1,1,0.156015771,0.185427276,0.156015771,0.185427276,0.140188405,0.168134989
292,1,1,1,1,1,1,1,0.142374203,0.124118283,0.142374203,0.124118283,0.099588934,0.10248794
293,1,1,1,1,1,1,1,0.109658457,0.105353127,0.109658457,0.105353127,0.109818786,0.085521031
294,1,1,1,1,1,1,1,0.068549964,0.090797297,0.068549964,0.090797297,0.064898442,0.068023687
295,1,1,1,1,1,1,1,0.044164413,0.044513243,0.044164413,0.044513243,0.034994872,0.042859349
296,1,1,1,1,1,1,1,0.152954989,0.147466687,0.152954989,0.147466687,0.119316075,0.144105188
297,1,1,1,1,1,1,1,0.154033882,0.129219393,0.154033882,0.129219393,0.09971913,0.092528507
298,2,2,1,1,0,1,1,0.150626087,0.150063357,0.150626087,0.150063357,1.43867308,1.180139428
299,1,1,1,1,1,1,1,0.113689321,0.112192637,0.113689321,0.112192637,0.104109731,0.09273317
300,1,1,1,1,1,1,1,0.162566686,0.092348443,0.162566686,0.092348443,0.141866275,0.06183025
301,1,1,1,1,1,1,1,0.120883889,0.078748963,0.120883889,0.078748963,0.106749668,0.086592912
302,1,1,1,1,1,1,1,0.184201589,0.183737945,0.184201589,0.183737945,0.133524931,0.116666426
303,1,1,1,1,1,1,1,0.07298057,0.076997516,0.07298057,0.076997516,0.078319615,0.075921659
304,1,1,1,1,1,1,1,0.182989511,0.129840901,0.182989511,0.129840901,0.152277942,0.119606334
305,1,1,1,1,1,1,1,0.119210793,0.136800013,0.119210793,0.136800013,0.10858004,0.128453189
306,1,1,1,1,1,1,1,0.195809611,0.152274989,0.195809611,0.152274989,0.479396922,0.437137243
307,1,1,1,1,1,1,1,0.114645108,0.124728511,0.114645108,0.124728511,0.105679366,0.113645671
308,1,1,1,1,1,1,1,0.153797351,0.148764077,0.153797351,0.148764077,0.119605717,0.141602315
309,1,1,1,1,1,1,1,0.097202163,0.118067691,0.097202163,0.118067691,0.072289785,0.116843173
310,1,1,1,1,1,1,1,0.060291874,0.107396733,0.060291874,0.107396733,0.039519683,0.098656503
311,1,1,1,1,1,1,1,0.100321254,0.109981836,0.100321254,0.109981836,0.099537003,0.110271365
312,1,1,1,1,1,1,1,0.15793729,0.131705446,0.15793729,0.131705446,0.137778491,0.119710561
313,1,1,1,1,1,1,1,0.121389642,0.121161432,0.121389642,0.121161432,0.120136161,0.097634733
314,2,2,7,7,0,1,1,0.33102253,0.261298266,0.33102253,0.261298266,1.531836463,2.618120326
315,1,1,1,1,1,1,1,0.109742834,0.120148662,0.109742834,0.120148662,0.080017172,0.105603102
316,1,1,1,1,1,1,1,0.144342814,0.139663775,0.144342814,0.139663775,0.125772384,0.113079494
317,1,1,1,1,1,1,1,0.181688804,0.189769506,0.181688804,0.189769506,0.168498932,0.164439132
318,1,1,1,1,1,1,1,0.140451084,0.155208481,0.140451084,0.155208481,0.116139282,0.14803116
319,1,1,1,1,1,1,1,0.178347013,0.105128649,0.178347013,0.105128649,0.152112902,0.106921747
320,1,1,1,1,1,1,1,0.086001684,0.071214983,0.086001684,0.071214983,0.076645645,0.070079497
321,1,1,1,1,1,1,1,0.082117536,0.107539146,0.082117536,0.107539146,0.074084506,0.095949795
322,1,1,1,1,1,1,1,0.065341991,0.094733443,0.065341991,0.094733443,0.081242286,0.087732843
323,1,1,1,1,1,1,1,0.12815849,0.109795744,0.12815849,0.109795744,0.109809833,0.116908463
324,1,1,1,1,1,1,1,0.153072501,0.134920702,0.153072501,0.134920702,0.118974031,0.136903656
325,1,1,1,1,1,1,1,0.099668769,0.119657852,0.099668769,0.119657852,0.085199773,0.116547042
326,1,1,1,1,1,1,1,0.115770125,0.092232676,0.115770125,0.092232676,0.114196978,0.08350697
327,2,2,2,2,0,1,1,0.160967137,0.211351832,0.160967137,0.211351832,1.603924702,1.660874391
328,1,1,1,1,1,1,1,0.155649991,0.211299715,0.155649991,0.211299715,0.149117893,0.18736412
329,1,1,1,1,1,1,1,0.118865021,0.112799438,0.118865021,0.112799438,0.076040288,0.099517713
330,1,1,1,1,1,1,1,0.110198738,0.105927946,0.110198738,0.105927946,0.122011583,0.11834129
331,1,1,1,1,1,1,1,0.135941596,0.116529243,0.135941596,0.116529243,0.102419622,0.12050872
332,1,1,1,1,1,1,1,0.173637634,0.118948037,0.173637634,0.118948037,0.116583904,0.095222418
333,7,7,1,1,0,1,1,0.211176122,0.199083916,0.211176122,0.199083916,2.458112886,0.223656609
334,1,1,1,1,1,1,1,0.082321633,0.079179842,0.082321633,0.079179842,0.071234836,0.079321543
335,1,1,1,1,1,1,1,0.155455242,0.206475638,0.155455242,0.206475638,0.21884772,0.248642342
336,1,1,1,1,1,1,1,0.113090978,0.132299146,0.113090978,0.132299146,0.095411767,0.11527506
337,1,1,1,1,1,1,1,0.125933656,0.118541385,0.125933656,0.118541385,0.109901911,0.117245964
338,1,1,1,1,1,1,1,0.154964486,0.133886797,0.154964486,0.133886797,0.133032469,0.113364163
339,1,1,1,1,1,1,1,0.15344631,0.169072911,0.15344631,0.169072911,0.10450134,0.137261645
340,1,1,1,1,1,1,1,0.148813943,0.123289507,0.148813943,0.123289507,0.140616192,0.09558749
341,1,1,1,1,1,1,1,0.148946568,0.126393755,0.148946568,0.126393755,0.142684695,0.133551192
342,1,1,1,1,1,1,1,0.112113825,0.120265762,0.112113825,0.120265762,0.10306728,0.115715945
343,1,1,1,1,1,1,1,0.146343517,0.169808427,0.146343517,0.169808427,0.129801723,0.120165519
344,1,1,1,1,1,1,1,0.054698815,0.069666281,0.054698815,0.069666281,0.044715187,0.058103316
345,1,1,1,1,1,1,1,0.147443877,0.106612213,0.147443877,0.106612213,0.118819469,0.095163514
346,1,1,1,1,1,1,1,0.10819417,0.130948857,0.10819417,0.130948857,0.091139097,0.100897289
347,1,1,1,1,1,1,1,0.131400531,0.071663969,0.131400531,0.071663969,0.125519767,0.063398416
348,1,1,1,1,1,1,1,0.093482235,0.121599173,0.093482235,0.121599173,0.062038167,0.103121443
349,1,1,1,1,1,1,1,0.041066654,0.03521136,0.041066654,0.03521136,0.039992003,0.035031569
350,1,1,1,1,1,1,1,0.154686705,0.15941408,0.154686705,0.15941408,0.133825603,0.12000296
351,1,1,1,1,1,1,1,0.188686966,0.170700073,0.188686966,0.170700073,0.120085841,0.11360383
352,1,1,7,7,0,1,1,0.160545321,0.125296322,0.160545321,0.125296322,1.096911976,2.524023639
353,1,1,1,1,1,1,1,0.116157835,0.122213689,0.116157835,0.122213689,0.113402147,0.114018311
354,1,1,1,1,1,1,1,0.140545005,0.131010928,0.140545005,0.131010928,0.122698058,0.127372493
355,1,1,1,1,1,1,1,0.147245211,0.147687242,0.147245211,0.147687242,0.123390924,0.122943159
356,5,5,1,1,0,1,1,0.226850083,0.211705646,0.226850083,0.211705646,2.030830176,0.402711678
357,1,1,1,1,1,1,1,0.201458088,0.165799148,0.201458088,0.165799148,0.162353618,0.141589053
358,1,1,1,1,1,1,1,0.106559249,0.06753695,0.106559249,0.06753695,0.112945388,0.066918935
359,3,3,4,4,0,1,1,0.150995831,0.15765701,0.150995831,0.15765701,1.994718488,2.206588849
360,1,1,1,1,1,1,1,0.084254289,0.067600654,0.084254289,0.067600654,0.079927819,0.067351908
361,1,1,1,1,1,1,1,0.07360756,0.091495455,0.07360756,0.091495455,0.056543477,0.091233531
362,1,1,1,1,1,1,1,0.082737746,0.101627831,0.082737746,0.101627831,0.080904245,0.09962211
363,1,1,1,1,1,1,1,0.091244869,0.086328929,0.091244869,0.086328929,0.051742915,0.08176764
364,1,1,1,1,1,1,1,0.171187547,0.144549795,0.171187547,0.144549795,0.144759197,0.12495681
365,1,1,1,1,1,1,1,0.109657756,0.142261027,0.109657756,0.142261027,0.095233217,0.102657941
366,1,1,1,1,1,1,1,0.13441006,0.106047633,0.13441006,0.106047633,0.129056722,0.094760224
367,1,1,1,1,1,1,1,0.142711223,0.105529777,0.142711223,0.105529777,0.247486071,0.183276179
368,1,1,1,1,1,1,1,0.079583783,0.110853502,0.079583783,0.110853502,0.081314578,0.110525931
369,1,1,6,6,0,1,1,0.14826307,0.152756138,0.14826307,0.152756138,1.414196724,2.517369022
370,1,1,1,1,1,1,1,0.096558566,0.1892614,0.096558566,0.1892614,0.097944086,0.164006189
371,1,1,1,1,1,1,1,0.095178466,0.108942057,0.095178466,0.108942057,0.085264493,0.094582117
372,1,1,1,1,1,1,1,0.135321391,0.119421451,0.135321391,0.119421451,0.136122329,0.101765703
373,1,1,1,1,1,1,1,0.156735285,0.188064904,0.156735285,0.188064904,0.141911608,0.172975244
374,1,1,1,1,1,1,1,0.132341122,0.124378228,0.132341122,0.124378228,0.107973485,0.12651164
375,1,1,1,1,1,1,1,0.182917289,0.128590572,0.182917289,0.128590572,0.117847253,0.178560506
376,1,1,1,1,1,1,1,0.105472505,0.138507633,0.105472505,0.138507633,0.09253067,0.114835864
377,1,1,1,1,1,1,1,0.095376079,0.135582431,0.095376079,0.135582431,0.08452282,0.113832139
378,1,1,1,1,1,1,1,0.10255509,0.088106446,0.10255509,0.088106446,0.091729867,0.076577254
379,1,1,1,1,1,1,1,0.212131594,0.168346375,0.212131594,0.168346375,0.154990146,0.145288886
380,1,1,1,1,1,1,1,0.146708931,0.108191259,0.146708931,0.108191259,0.128032587,0.107533106
381,1,1,1,1,1,1,1,0.149272019,0.124920912,0.149272019,0.124920912,0.151005581,0.127664272
382,1,1,1,1,1,1,1,0.133004665,0.142067167,0.133004665,0.142067167,1.412290302,0.830981865
383,1,1,1,1,1,1,1,0.106561384,0.098366578,0.106561384,0.098366578,0.108237978,0.10084049
384,7,7,5,5,0,1,1,0.194093099,0.136300924,0.194093099,0.136300924,2.487589715,2.039197355
385,1,1,1,1,1,1,1,0.20556822,0.181692908,0.20556822,0.181692908,0.171246466,0.164016711
386,1,0,1,1,0,1,1,0.053762366,0.035866912,0.053762366,0.035866912,NA,0.037040037
387,1,1,1,1,1,1,1,0.211198099,0.141989857,0.211198099,0.141989857,0.221858988,0.261606996
388,3,3,7,7,0,1,1,0.16857334,0.125187376,0.16857334,0.125187376,1.987911812,2.691732766
389,1,1,1,1,1,1,1,0.089402524,0.105118156,0.089402524,0.105118156,0.105469687,0.07667558
390,1,1,1,1,1,1,1,0.085829224,0.10297673,0.085829224,0.10297673,0.073217715,0.093033497
391,1,1,1,1,1,1,1,0.235615172,0.185814647,0.235615172,0.185814647,1.399255436,1.210315112
392,1,0,1,1,0,1,1,0.071581958,0.048660155,0.071581958,0.048660155,NA,0.051222692
393,1,1,1,1,1,1,1,0.118606754,0.13432165,0.118606754,0.13432165,0.097002475,0.096978412
394,1,1,1,1,1,1,1,0.196429421,0.155734256,0.196429421,0.155734256,0.142523662,0.165827443
